FID,Shape *,Lakes_OBJE,FDate,GNIS_Name,Shape_Leng,Shape_Area,EWM,VLM,CLP,WC,Fan,SWF,BN,YFH,Inv,Durb,Road_Dens,X,Y,ele,Lakes_freq,ws_area,area_up,sf_dens,ewm_up,launch_num,edit,URB_ISO,Lakes1.public_acc,Lakes1.vlm_up,Rowid,LAKES_POINT *,X,Y,CLIMTMIN_4,CLIMTMIN_3,CLIMTMIN_2,CLIMTMIN_1,CLIMTMIN_12,CLIMTMIN_11,CLIMTMIN_10,CLIMTMEAN_4,CLIMTMEAN_3,CLIMTMEAN_2,CLIMTMEAN_1,CLIMTMEAN_12,CLIMTMEAN_11,CLIMTMEAN_10,CLIMTMAX_4,CLIMTMAX_3,CLIMTMAX_2,CLIMTMAX_1,CLIMTMAX_12,CLIMTMAX_11,CLIMTMAX_10,CLIMTMIN_9,CLIMTMIN_8,CLIMTMIN_7,CLIMTMIN_6,CLIMTMIN_5,CLIMTMEAN_9,CLIMTMEAN_8,CLIMTMEAN_7,CLIMTMEAN_6,CLIMTMEAN_5,CLIMTMAX_9,CLIMTMAX_8,CLIMTMAX_7,CLIMTMAX_6,CLIMTMAX_5
12,Polygon ZM,39893,1/12/2013,Harris Lake,14.56162,126.547018,0,0,0,0,0,0,0,0,0,33840.83296,4.218975,568841.4995,4869365.149,473.800018,76,493.315939,1684.113673,0.054287,0,1,0,192.423838,1,0,76,12,568841.4995,4869365.149,-20,-90,-145,-153,-113,-37,9,42,-29,-82,-94,-62,10,70,104,32,-18,-34,-10,57,132,66,102,112,87,38,130,167,178,155,108,194,233,245,223,178
13,Polygon ZM,40988,4/10/2009,Lake Vanare,3.362687,14.43124,0,0,0,0,0,0,0,0,0,6059.441169,10.167504,598092.8517,4802792.808,214.900009,338,8.572616,0,0.215961,0,0,0,234.338322,0,0,127,13,598092.8517,4802792.808,0,-62,-124,-135,-94,-19,26,65,-4,-63,-76,-45,28,88,130,55,-1,-16,5,76,151,85,127,138,110,61,149,192,205,177,131,213,258,272,245,201
14,Polygon ZM,76584,5/11/2009,Stark Falls Reservoir,13.500382,260.659263,0,0,0,0,0,0,0,0,0,27657.71232,2.613804,520166.3548,4920813.091,413,47,7.61095,0,0,0,2,0,170.944377,1,0,25,14,520166.3548,4920813.091,-15,-91,-150,-157,-117,-35,13,44,-33,-89,-100,-66,9,71,104,26,-27,-42,-15,54,130,71,112,123,97,45,131,174,186,162,112,191,236,249,227,179
15,Polygon ZM,80052,1/11/2013,Rock Pond,1.341194,7.632565,0,0,0,0,0,0,0,0,0,27711.38353,3.107335,484234.0786,4871434.924,410,28,66.487875,156.92142,0,0,0,0,213.532139,0,0,72,15,484234.0786,4871434.924,-15,-89,-148,-154,-114,-32,16,45,-30,-86,-96,-63,12,74,105,30,-23,-38,-12,57,132,73,113,122,96,45,133,174,185,160,111,193,236,249,225,178
16,Polygon ZM,80305,1/11/2013,Stony Creek Ponds,9.24703,77.624477,0,0,0,0,0,0,0,0,0,10178.80156,2.399491,555034.2208,4895936.449,472,83,7.600191,12.332546,0.082161,0,0,0,179.789115,0,0,57,16,555034.2208,4895936.449,-21,-93,-149,-156,-118,-39,9,41,-32,-86,-97,-66,8,70,103,30,-22,-37,-13,55,131,65,104,114,88,39,129,169,181,156,109,193,235,248,224,179
17,Polygon ZM,80332,5/11/2009,Grass Pond,86.91508,1135.282489,0,0,0,0,0,0,0,0,0,20081.96224,0.640782,516865.6966,4879947.539,531.299988,47,87.717575,338.489065,0,0,0,0,206.303439,0,0,68,17,516865.6966,4879947.539,-23,-99,-154,-160,-121,-40,8,38,-37,-89,-100,-69,5,68,100,26,-24,-40,-16,51,128,65,103,113,88,36,126,166,178,155,105,187,230,243,222,175
18,Polygon ZM,80333,5/11/2009,Hitchins Pond,15.901102,107.354836,0,0,0,0,0,0,0,0,0,15409.86924,0.256565,527300.8909,4884710.94,522.5,47,134.825539,1869.084563,0.04962,0,0,0,195.26966,0,1,67,18,527300.8909,4884710.94,-24,-98,-154,-159,-119,-40,8,38,-36,-90,-100,-67,6,68,100,27,-25,-40,-15,52,128,64,103,112,86,36,125,167,178,153,105,187,231,244,221,175
19,Polygon ZM,83981,7/8/2009,Star Lake,11.24667,87.279956,0,0,0,0,0,0,0,0,0,34564.53354,10.647061,495972.233,4889486.231,441.399994,224,2.064231,0,0.448135,0,0,0,197.250067,0,0,63,19,495972.233,4889486.231,-19,-94,-152,-158,-118,-36,12,42,-34,-89,-99,-66,9,70,103,27,-25,-40,-14,54,129,70,110,119,94,42,130,172,183,159,109,190,234,247,224,177
20,Polygon ZM,83982,5/11/2009,Little Tupper Lake,37.656454,925.173509,0,0,0,0,0,0,0,0,0,17486.97882,1.441417,531523.2845,4876454.7,523.799988,116,157.114707,524.0815,0.032227,0,1,0,204.323187,1,0,70,20,531523.2845,4876454.7,-24,-97,-152,-158,-118,-40,7,38,-35,-88,-98,-66,6,67,100,28,-23,-38,-14,52,128,65,102,111,86,36,127,166,177,153,105,189,231,243,221,175
21,Polygon ZM,87728,5/11/2009,Piercefield Flow,15.427906,194.899665,0,0,0,0,0,0,0,0,0,2502.92752,2.416178,535696.3948,4897487.949,470,114,1850.653821,16359.40774,0.062417,0,0,0,185.288096,1,15,55,21,535696.3948,4897487.949,-21,-94,-150,-157,-117,-38,9,41,-33,-86,-98,-65,8,69,103,29,-22,-38,-13,54,130,66,106,116,90,39,129,171,182,157,108,192,236,248,225,178
